,song_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1346,Been Caught Stealing,0.683,0.9,7,-7.506,1,0.0146,0.0706,0.296,0.616,103.625,213293,4
1347,Song to the Siren,0.261,0.0748,10,-21.048,1,0.95,0.000134,0.105,0.106,62.027,208133,3
1348,Do You Want To,0.414,0.939,0,-2.887,1,0.0884,0.000612,0.81,0.748,123.091,215000,4
1349,Don't Speak,0.522,0.707,5,-7.113,0,0.24,2.04e-05,0.156,0.572,76.05,263000,4
1350,Realiti,0.638,0.632,9,-7.589,1,0.000904,0.0406,0.115,0.349,114.992,306532,4
1351,Funkytown - Single Version,0.907,0.564,0,-9.29,1,0.000928,0.65,0.108,0.229,122.632,245413,4
1352,Laura,0.459,0.187,7,-9.326,1,0.922,0.0,0.0939,0.0625,96.983,266493,4
1353,Begin The Beguine,0.638,0.438,2,-7.137,1,0.911,0.212,0.0994,0.639,137.761,199587,4
1354,The Show,0.87,0.938,1,-7.039,1,0.00738,0.0,0.339,0.513,101.682,266573,4
1355,Fire,0.479,0.944,9,-5.167,1,0.00206,0.0283,0.356,0.572,153.45,163800,4
1356,Sing It Back,0.765,0.772,3,-7.532,0,0.00681,0.00065,0.0477,0.967,123.027,279093,4
1357,Have You Seen Her,0.621,0.413,4,-12.274,1,0.602,4.88e-06,0.145,0.338,139.491,310747,4
1358,Let Down,0.352,0.686,9,-8.604,1,0.000112,0.0813,0.0786,0.123,102.41,299267,4
1359,Danny Nedelko,0.207,0.931,6,-4.452,1,0.000274,0.00387,0.243,0.324,204.227,204844,4
1360,54-46 Was My Number,0.682,0.367,7,-7.447,1,0.184,3.04e-05,0.0725,0.635,159.481,190693,4
1361,Stay with Me - Single Version,0.305,0.34,0,-6.714,1,0.639,2.77e-05,0.12,0.246,124.693,210080,3
1362,The Only One I Know,0.543,0.572,5,-13.124,1,0.0685,0.00119,0.0823,0.533,113.312,238120,4
1363,Scenario - LP Mix,0.795,0.6,2,-14.004,1,0.112,0.000171,0.111,0.633,101.78,250133,4
1364,You Are The Sunshine Of My Life,0.524,0.531,11,-11.926,1,0.805,2.51e-05,0.203,0.683,132.175,178267,4
1365,Autumn Sweater,0.628,0.449,7,-12.446,1,0.15,0.738,0.141,0.874,102.081,318373,4
1366,She Bangs the Drums - Remastered,0.339,0.976,9,-4.782,1,0.00649,0.00672,0.123,0.672,144.723,232333,4
1367,Celebrity Skin,0.443,0.896,9,-6.163,1,1.35e-05,0.000101,0.369,0.733,134.145,162493,4
1368,Spirit in the Sky,0.601,0.643,2,-5.828,1,0.112,0.00209,0.088,0.552,128.262,239600,4
1369,What Becomes Of The Brokenhearted,0.709,0.458,7,-8.472,0,0.212,0.0,0.29,0.426,98.824,173067,4
1370,"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",0.321,0.869,9,-8.732,1,0.00769,0.00491,0.376,0.496,206.568,216413,4
1371,Manic Depression,0.357,0.969,1,-4.99,1,0.0134,0.0677,0.141,0.704,149.741,222293,3
1372,In Your Eyes,0.622,0.713,11,-7.253,0,0.0702,3.04e-06,0.104,0.639,89.448,327947,4
1373,Come Out and Play,0.514,0.884,7,-3.765,1,0.0943,1.52e-06,0.0654,0.898,158.262,197800,4
1374,La mer (Beyond the Sea),0.342,0.228,9,-12.211,0,0.935,0.00248,0.114,0.354,84.753,201271,3
1375,Crying in the Chapel,0.278,0.114,1,-16.452,1,0.913,0.0,0.158,0.509,175.474,184907,3
1376,Fever,0.742,0.0899,9,-19.187,0,0.0906,0.0,0.113,0.351,137.473,201333,4
1377,She's Leaving Home - Remastered,0.381,0.214,4,-11.629,1,0.944,0.0,0.106,0.393,127.581,215160,3
1378,Let's Go Crazy,0.309,0.93,11,-6.399,1,0.0192,0.0022,0.106,0.376,195.815,280000,4
1379,Wanna Be Startin' Somethin',0.848,0.922,6,-4.203,0,0.0209,0.361,0.058,0.884,122.224,362387,4
1380,Pick Up,0.712,0.601,5,-8.968,1,1.09e-05,0.802,0.0982,0.513,124.912,398151,4
1381,Rocks Off,0.485,0.943,4,-4.423,1,0.0639,0.179,0.144,0.889,141.982,271933,4
1382,Downtown,0.481,0.589,4,-10.471,1,0.81,0.0,0.249,0.666,117.699,185400,4
1383,Every Single Night,0.687,0.195,0,-12.612,1,0.859,0.0,0.226,0.402,125.949,209387,4
1384,Cum On Feel The Noize,0.408,0.83,7,-7.932,1,0.000327,0.58,0.131,0.674,137.778,262973,4
1385,A Horse with No Name,0.654,0.506,11,-17.18,0,0.686,0.0155,0.155,0.831,123.179,252240,4
1386,Reet Petite - The Finest Girl You Ever Want to Meet,0.655,0.67,5,-6.719,1,0.387,0.0,0.148,0.929,84.117,165867,4
1387,The Robots - 2009 Remaster,0.806,0.765,2,-9.665,0,0.0236,0.617,0.148,0.353,115.023,372760,4
1388,(Mama) He Treats Your Daughter Mean,0.835,0.446,8,-5.085,1,0.719,0.0,0.0753,0.909,120.238,179013,4
1389,Torn,0.576,0.864,5,-6.362,1,0.0616,4.72e-05,0.71,0.611,96.311,244933,4
1390,This Must Be the Place (Naive Melody) - 2005 Remaster,0.942,0.641,7,-10.15,1,0.331,0.179,0.028,0.966,114.443,296147,4
1391,Never Let Me Down Again,0.599,0.719,0,-12.57,1,0.278,0.0486,0.693,0.785,106.081,288000,4
1392,Hold On,0.574,0.667,5,-5.425,1,0.206,0.352,0.0852,0.546,88.299,226187,4
1393,Sin City,0.427,0.403,3,-14.064,1,0.00558,3.57e-06,0.306,0.657,86.014,251533,3
1394,What Time Is Love - Live at Trancentral,0.604,0.779,6,-9.774,1,0.00302,0.00026,0.95,0.433,119.168,322608,4
1395,Fake Empire,0.324,0.776,0,-6.784,1,0.151,0.917,0.0728,0.317,101.964,205040,3
1396,My Baby Just Cares for Me - 2013 Remastered Version,0.746,0.243,4,-15.134,0,0.829,1.02e-06,0.0905,0.425,118.578,215747,4
