,song_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Like a Rolling Stone,0.482,0.721,0,-6.839,1,0.731,0.0,0.189,0.557,95.263,369600,4
1,Smells Like Teen Spirit,0.485,0.863,1,-9.027,1,1.22e-05,0.0162,0.138,0.767,116.835,300977,4
2,A Day In The Life - Remastered,0.364,0.457,4,-14.162,0,0.29,0.000106,0.922,0.175,163.219,337413,4
3,Good Vibrations (Mono),0.398,0.413,1,-10.934,1,0.0822,2.54e-05,0.0891,0.331,133.574,219147,4
4,Johnny B Goode,0.518,0.756,10,-10.851,1,0.735,6.2e-05,0.317,0.968,166.429,160893,4
5,Respect,0.805,0.558,0,-5.226,1,0.164,2.2e-05,0.0546,0.965,114.95,147600,4
6,Be My Baby,0.511,0.769,4,-7.032,1,0.181,0.0,0.0921,0.818,129.657,160907,4
7,What's Going On,0.282,0.716,1,-9.632,0,0.451,0.0,0.399,0.83,201.958,233000,4
8,I Heard It Through The Grapevine,0.729,0.324,8,-13.017,0,0.195,0.0,0.101,0.679,116.855,195267,4
9,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,0.725,0.853,2,-7.842,1,0.0348,0.127,0.196,0.904,136.282,222813,4
10,Billie Jean,0.92,0.654,11,-3.051,0,0.0236,0.0153,0.036,0.847,117.046,293827,4
11,Heartbreak Hotel,0.688,0.223,4,-11.476,1,0.849,2.1e-06,0.0974,0.701,93.551,128040,4
12,Born to Run,0.253,0.868,4,-9.773,1,0.0511,0.0,0.214,0.68,146.647,269200,4
13,My Generation - Original Mono Version,0.332,0.822,0,-6.558,0,0.165,9.33e-05,0.161,0.745,96.253,197320,4
14,Love Will Tear Us Apart,0.443,0.956,2,-6.198,1,5.24e-05,0.825,0.135,0.909,146.754,206867,4
15,God Only Knows - Mono / 1997 Remastered,0.521,0.487,6,-7.525,0,0.253,0.0,0.0579,0.483,117.072,173040,4
16,(Sittin' On) the Dock of the Bay,0.484,0.312,2,-13.522,1,0.724,1.65e-06,0.0601,0.598,205.981,166827,4
17,Hey Ya! - Radio Mix / Club Mix,0.719,0.967,0,-2.435,1,0.0588,0.000249,0.206,0.964,79.505,235213,4
18,Anarchy In The UK - Remastered 2012,0.359,0.949,0,-7.649,1,0.0556,0.000396,0.236,0.212,134.118,212480,4
19,Paper Planes,0.541,0.854,2,-6.196,1,0.0254,0.000125,0.651,0.454,86.044,205200,4
20,London Calling,0.653,0.797,0,-6.958,1,0.0738,0.0,0.0847,0.726,133.725,199733,4
21,Sympathy For The Devil,0.566,0.673,9,-10.814,1,0.565,1.13e-06,0.0438,0.583,114.385,377747,4
22,Strawberry Fields Forever - Remastered,0.39,0.502,10,-12.277,1,0.336,0.000138,0.0713,0.289,97.871,247320,4
23,Tutti Frutti,0.532,0.591,0,-3.81,0,0.782,0.0,0.0647,0.962,184.4,146640,4
24,Stairway To Heaven,0.346,0.335,7,-12.453,1,0.575,0.00674,0.185,0.213,84.204,478173,4
25,The Message (feat. Melle Mel & Duke Bootee),0.947,0.607,10,-10.58,0,0.0249,4.76e-06,0.0861,0.732,100.619,431800,4
26,What'd I Say,0.506,0.618,4,-11.278,1,0.657,2.31e-05,0.248,0.789,89.023,386560,4
27,Imagine - Remastered 2010,0.547,0.257,0,-12.358,1,0.907,0.183,0.0935,0.169,75.752,187867,4
28,A Change Is Gonna Come,0.214,0.4,10,-10.042,1,0.756,0.0,0.325,0.508,169.683,191160,3
29,Heroes - 1999 Remaster,0.478,0.774,7,-6.977,1,0.000265,0.585,0.191,0.429,112.577,370373,4
30,When Doves Cry,0.729,0.989,9,-4.613,0,0.0102,4.45e-05,0.443,0.84,126.47,352906,4
31,Superstition,0.609,0.657,1,-11.496,1,0.0308,0.00221,0.071,0.872,100.607,266160,4
32,Common People,0.319,0.839,0,-7.341,1,0.00596,7.99e-05,0.0764,0.538,144.938,350373,4
33,Gimme Shelter,0.63,0.616,1,-8.128,0,0.463,0.0408,0.173,0.509,118.65,270773,4
34,Strange Fruit,0.304,0.104,10,-15.835,0,0.963,0.000291,0.177,0.0608,81.02,189360,3
35,You Really Got Me,0.571,0.908,1,-8.208,1,0.412,1.19e-06,0.0802,0.958,137.43,133573,4
36,Crazy In Love (feat. Jay-Z),0.646,0.77,2,-6.596,0,0.00249,0.0,0.0715,0.681,99.165,236133,4
37,Seven Nation Army,0.745,0.466,4,-7.62,0,0.00666,0.35,0.272,0.303,123.889,231920,4
38,Losing My Religion,0.672,0.841,9,-5.992,0,0.0767,0.0,0.135,0.82,125.437,267733,4
39,God Save The Queen,0.304,0.901,9,-7.756,1,0.00105,0.000376,0.158,0.541,147.199,199453,4
40,Bohemian Rhapsody - Remastered 2011,0.414,0.404,0,-9.928,0,0.271,0.0,0.3,0.224,71.105,354320,4
41,Blue Monday,0.757,0.758,0,-7.873,1,0.00708,0.831,0.112,0.918,130.505,447013,4
42,Purple Haze,0.533,0.905,2,-5.27,1,0.00876,0.578,0.0698,0.486,108.9,170813,4
43,Louie Louie,0.623,0.709,1,-9.818,0,0.102,0.0,0.0967,0.948,122.394,165381,4
44,I Want You Back,0.639,0.548,8,-13.534,1,0.29,9.68e-05,0.366,0.887,98.359,176333,4
45,Crazy,0.855,0.587,8,-4.589,1,0.0505,0.00714,0.105,0.64,111.97,177466,4
46,You've Lost That Lovin' Feelin' - Single Version,0.357,0.389,1,-9.702,1,0.569,0.0,0.099,0.324,94.211,224000,4
47,Hey Jude - Remastered,0.394,0.566,10,-9.435,1,0.0304,3.64e-05,0.101,0.631,148.029,429933,4
48,Waterloo Sunset - Stereo,0.517,0.692,1,-7.273,0,0.253,0.0,0.172,0.476,107.958,193293,4
49,Take Me Out,0.273,0.665,9,-8.795,1,0.000458,0.000893,0.117,0.514,104.656,239027,4
50,Get Ur Freak On,0.78,0.787,0,-6.653,1,0.533,0.134,0.122,0.668,177.835,237067,4
51,That'll Be the Day,0.654,0.523,9,-8.053,1,0.8,0.0,0.285,0.851,126.819,136853,4
52,Light My Fire,0.413,0.725,3,-5.787,0,0.369,2.16e-05,0.0905,0.44,124.618,429760,4
53,I Feel Love,0.639,0.659,5,-16.098,0,0.0166,0.633,0.116,0.92,126.436,201735,4
54,There Is a Light That Never Goes Out - 2011 Remaster,0.523,0.769,4,-5.855,1,0.04,0.0,0.136,0.876,136.162,244587,4
55,Space Oddity - 2009 Remastered Version,0.337,0.365,0,-15.091,1,0.0788,3.84e-05,0.202,0.497,136.264,317027,4
56,Stand by Me,0.632,0.232,9,-12.326,1,0.428,4.95e-06,0.215,0.673,119.136,175493,4
57,Mr. Tambourine Man,0.456,0.47,2,-9.564,1,0.513,3.76e-05,0.444,0.639,120.336,149467,4
58,Bitter Sweet Symphony,0.389,0.889,9,-6.546,1,0.0415,0.0,0.463,0.524,171.121,358427,4
59,(We're Gonna) Rock Around The Clock,0.77,0.812,9,-9.013,1,0.384,2.34e-06,0.122,0.897,90.984,129400,4
60,Layla - 40th Anniversary Version / 2010 Remastered,0.404,0.903,1,-3.88,1,0.577,0.297,0.287,0.498,115.672,423840,4
61,River Deep - Mountain High,0.324,0.641,3,-11.12,1,0.189,8.47e-05,0.109,0.308,83.901,219133,4
62,Unfinished Sympathy - 2006 Digital Remaster,0.592,0.891,7,-5.637,1,0.0145,0.141,0.394,0.717,114.348,312293,4
63,Loser,0.595,0.617,6,-10.455,0,0.0343,0.000135,0.383,0.823,85.387,234960,4
64,Fight The Power,0.798,0.586,2,-13.001,1,0.00556,2.34e-06,0.473,0.381,105.979,282640,4
65,Once in a Lifetime - 2005 Remaster,0.644,0.919,2,-6.289,1,0.181,0.134,0.622,0.871,117.459,259907,4
66,Paranoid Android,0.328,0.762,5,-8.651,1,0.0342,0.00876,0.198,0.274,125.75,383507,4
67,Whole Lotta Love - Remaster,0.401,0.893,9,-11.171,1,0.0617,0.0391,0.164,0.406,87.979,334555,4
68,Alright,0.796,0.766,7,-5.974,1,0.0742,0.0,0.0827,0.558,110.034,219333,4
69,House of the Rising Sun,0.316,0.484,9,-9.11,0,0.000334,0.00445,0.0912,0.299,117.363,269907,3
70,Walk on the Wild Side,0.564,0.262,0,-19.746,1,0.652,0.000204,0.0896,0.376,104.5,253960,4
71,Hotel California,0.55,0.593,2,-7.619,1,0.00511,0.00127,0.106,0.543,147.617,390267,4
72,99 Problems,0.494,0.887,6,-4.297,0,0.00661,0.0,0.103,0.548,89.554,234627,4
73,Dancing On My Own,0.687,0.865,6,-4.663,1,0.0743,0.225,0.0966,0.261,117.015,288670,4
74,Formation,0.896,0.621,5,-6.857,0,0.00532,0.0,0.196,0.818,121.966,206080,4
75,Let's Stay Together,0.762,0.244,5,-18.114,1,0.388,0.0137,0.0663,0.558,101.57,199507,4
76,Jumpin' Jack Flash,0.575,0.909,3,-8.003,1,0.0582,0.238,0.0724,0.693,137.335,222280,4
77,All My Friends,0.701,0.788,2,-5.611,1,0.148,0.625,0.0977,0.795,142.584,462267,4
78,California Dreamin',0.554,0.667,1,-10.226,0,0.628,0.0,0.0486,0.597,112.749,157960,4
79,Blitzkrieg Bop - 2001 Remaster,0.535,0.784,9,-5.073,1,0.00557,0.171,0.0852,0.962,176.241,132733,4
80,Dancing In The Street,0.543,0.807,11,-5.973,0,0.0567,0.000858,0.32,0.685,126.157,159920,4
81,Hound Dog,0.355,0.722,0,-9.338,1,0.712,0.00309,0.805,0.946,176.708,136160,4
82,Oblivion,0.697,0.529,2,-8.838,1,0.115,0.901,0.0895,0.486,155.974,251267,4
83,I Want To Hold Your Hand - Remastered,0.492,0.722,7,-6.348,1,0.581,4.47e-06,0.354,0.926,130.97,146533,4
84,All Along the Watchtower,0.438,0.805,8,-6.237,1,0.00255,5.69e-05,0.0842,0.564,113.253,240800,4
85,Nothing Compares 2 U,0.511,0.574,5,-7.016,1,0.0425,2.33e-05,0.105,0.161,119.917,280040,4
86,How Soon Is Now? - 2011 Remaster,0.398,0.93,11,-6.76,1,0.000854,0.121,0.0874,0.725,190.818,408173,4
87,Sweet Child O' Mine,0.45,0.904,6,-7.736,1,0.0872,0.108,0.102,0.689,125.072,356000,4
88,For What It's Worth,0.653,0.519,2,-10.164,1,0.406,0.0209,0.101,0.822,98.883,153693,4
89,The Weight - Remastered,0.63,0.519,9,-10.997,1,0.225,4.3e-06,0.0974,0.502,143.942,278627,4
90,Runaway,0.383,0.579,1,-3.765,0,0.198,0.00184,0.517,0.103,86.522,547733,4
91,Ghost Town - Extended Version,0.666,0.654,0,-11.691,0,0.0547,0.702,0.341,0.898,73.687,359173,4
92,Royals,0.674,0.428,7,-9.504,1,0.121,0.0,0.132,0.337,84.878,190185,4
93,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.794,0.811,6,-8.966,0,0.0426,1.07e-06,0.101,0.862,116.047,248413,4
94,Suspicious Minds,0.477,0.378,7,-11.225,1,0.0377,3.49e-06,0.453,0.688,116.393,260973,4
95,Life On Mars? - 1999 Remastered Version,0.44,0.591,10,-7.859,1,0.53,1.03e-05,0.171,0.373,121.398,223413,4
96,Reach Out I'll Be There - Single Version / Mono,0.619,0.803,3,-3.521,0,0.0703,0.0,0.27,0.73,119.538,179667,4
97,That's All Right Mama,0.649,0.473,2,-7.875,1,0.73,4.92e-05,0.176,0.658,105.048,120267,4
98,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,0.825,0.812,10,-4.663,0,0.319,4.58e-05,0.267,0.847,108.352,316253,4
99,Wonderwall,0.413,0.85,2,-5.593,1,0.00228,0.0,0.124,0.481,174.423,258907,4
100,Heroin,0.209,0.79,1,-10.12,1,0.29,0.798,0.0999,0.251,145.233,433573,4
101,Whole Lotta Shakin' Goin' On,0.35,0.573,0,-11.34,1,0.741,2.03e-05,0.171,0.562,163.654,173867,4
102,Thunder Road,0.374,0.606,5,-10.836,1,0.667,1.23e-06,0.25,0.649,140.267,287360,4
103,One,0.544,0.542,0,-8.624,1,0.268,0.00197,0.114,0.339,90.472,276187,4
104,I'm Waiting For The Man - Album Version (Stereo),0.68,0.632,7,-9.642,1,0.027,0.868,0.146,0.863,125.894,279520,4
105,The Tracks Of My Tears - Single Version / Mono,0.521,0.386,7,-7.72,1,0.727,0.0,0.33,0.709,95.793,177733,4
106,Yesterday - Remastered,0.332,0.179,5,-11.83,1,0.879,0.0,0.0886,0.315,96.529,125667,4
107,Dancing Queen,0.543,0.87,9,-6.514,1,0.358,0.000939,0.792,0.754,100.804,230400,4
108,Summertime Blues,0.721,0.82,11,-10.32,0,0.387,0.000326,0.198,0.966,155.968,120000,4
109,This Charming Man - 2011 Remaster,0.611,0.846,11,-5.9,1,0.00509,0.0,0.0784,0.751,103.912,162920,4
110,Blue Suede Shoes,0.516,0.665,2,-8.206,1,0.247,0.000986,0.191,0.965,168.795,137053,4
111,Good Times,0.87,0.657,2,-7.32,1,0.149,0.0102,0.053,0.893,110.596,495400,4
112,Pyramids,0.4,0.65,5,-6.104,0,0.0118,7.62e-05,0.791,0.15,107.989,592920,4
113,My Girl - Single Version/Mono,0.571,0.593,0,-4.75,1,0.558,0.0,0.257,0.572,105.014,175813,4
114,Paint It Black,0.504,0.845,5,-7.799,0,0.0139,0.0419,0.359,0.736,159.508,224133,4
115,Video Games,0.236,0.249,6,-9.595,0,0.811,1e-06,0.087,0.181,72.847,281960,5
116,Rehab,0.42,0.873,0,-2.963,1,0.0408,2.17e-06,0.568,0.728,72.858,213760,4
117,Rapper's Delight - Long Version,0.847,0.828,9,-8.51,1,0.385,0.0,0.393,0.884,111.045,873733,4
118,The Sound of Silence - Electric Version,0.44,0.466,6,-9.712,1,0.17,1.03e-06,0.118,0.543,107.744,185253,4
119,Fortunate Son,0.648,0.678,0,-7.461,1,0.221,0.00456,0.143,0.667,132.729,140773,4
120,Papa's Got A Brand New Bag - Pt. 1,0.761,0.787,4,-5.672,1,0.542,0.148,0.0826,0.89,130.311,126507,4
121,Bridge over Troubled Water,0.316,0.199,3,-14.099,1,0.846,0.000649,0.121,0.233,82.814,293547,4
122,"No Woman, No Cry - Live At The Lyceum, London/1975",0.649,0.673,1,-9.35,1,0.249,0.0351,0.726,0.587,78.535,427800,4
123,Proud Mary,0.699,0.641,2,-7.564,1,0.13,0.000218,0.0601,0.728,120.745,187213,4
124,Every Breath You Take - Remastered 2003,0.82,0.452,1,-9.796,1,0.543,0.00294,0.0701,0.74,117.401,253250,4
125,Maybellene - Single Version,0.757,0.761,0,-10.692,1,0.772,0.0,0.191,0.771,118.181,143240,4
126,A Whiter Shade Of Pale,0.305,0.548,0,-8.839,1,0.65,0.000546,0.184,0.36,74.586,243800,4
127,Midnight City,0.507,0.729,11,-5.399,0,0.0182,1.4e-06,0.0658,0.272,105.013,243960,4
128,Losing My Edge,0.769,0.959,5,-8.717,0,0.000208,0.631,0.331,0.893,116.168,473067,4
129,I'm So Lonesome I Could Cry - Single Version,0.667,0.216,4,-12.918,1,0.888,0.0025,0.132,0.659,111.088,166000,3
130,Eight Miles High,0.364,0.768,9,-10.492,1,0.21,0.136,0.503,0.37,130.602,214640,4
131,Born Slippy (Nuxx),0.576,0.953,10,-8.968,1,0.00106,0.49,0.474,0.303,140.042,456480,4
132,Great Balls Of Fire,0.563,0.508,10,-15.044,1,0.416,0.0,0.526,0.849,79.436,110867,4
133,Green Onions,0.788,0.38,10,-15.179,1,0.811,0.906,0.102,0.892,138.205,167385,4
134,Maps,0.523,0.939,7,-5.972,1,0.000803,0.201,0.544,0.164,119.839,219760,4
135,Umbrella,0.583,0.829,1,-4.603,1,0.00864,0.0,0.0426,0.575,174.028,275987,4
136,She Loves You - Remastered,0.391,0.87,7,-5.939,1,0.218,0.0,0.154,0.924,75.546,141333,4
137,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,0.704,0.834,10,-7.131,0,0.0291,0.00492,0.147,0.923,103.555,285373,4
138,Tangled up in Blue,0.421,0.661,9,-13.126,1,0.414,1.16e-06,0.0962,0.554,100.965,341627,4
139,Maggie May,0.605,0.574,2,-10.536,1,0.559,0.113,0.0684,0.543,129.449,350267,4
140,Will You Still Love Me Tomorrow,0.574,0.44,0,-7.847,1,0.654,3.36e-05,0.302,0.648,136.927,163773,4
141,Seasons (Waiting On You),0.498,0.721,10,-5.232,1,0.136,0.7,0.0933,0.589,140.027,226440,4
142,Creep,0.532,0.344,7,-13.057,1,0.00563,0.000473,0.115,0.126,91.834,235667,4
143,Be-Bop-A-Lula,0.607,0.561,9,-10.099,1,0.421,0.0,0.298,0.841,127.638,157207,3
144,Paranoid,0.418,0.668,6,-11.297,0,0.000143,0.00113,0.173,0.379,162.663,167933,4
145,Heart Of Glass [24-Bit Digitally Remastered 01],0.662,0.633,9,-7.793,1,0.0078,0.0233,0.0689,0.657,115.007,350240,4
146,Kashmir - 1990 Remaster,0.48,0.536,2,-11.166,1,0.488,4.22e-05,0.155,0.581,80.617,508200,3
147,Walk This Way (feat. Aerosmith),0.761,0.711,9,-7.989,1,0.0174,0.000101,0.0652,0.947,105.448,310387,4
148,Like a Prayer,0.66,0.629,5,-12.359,1,0.432,7.3e-05,0.172,0.324,111.926,340867,4
149,Marquee Moon - 2003 Remaster,0.494,0.657,7,-7.543,1,0.0632,0.449,0.0849,0.737,118.194,645000,4
150,Hotline Bling,0.896,0.623,2,-8.008,1,0.00257,0.000258,0.039,0.585,134.962,267024,4
151,Live Forever,0.143,0.781,9,-5.442,0,1.26e-05,7.09e-06,0.371,0.229,90.063,276867,4
152,Time to Pretend,0.438,0.94,2,-3.249,1,8.74e-05,0.0777,0.3,0.421,100.99,261000,3
153,When a Man Loves a Woman,0.516,0.15,1,-20.41,1,0.13,0.0755,0.122,0.205,97.398,173867,3
154,Brown Sugar,0.65,0.831,0,-6.721,1,0.107,0.00032,0.0773,0.965,128.56,229760,4
155,"Over the Rainbow (From ""The Wizard of Oz"")",0.244,0.0447,8,-21.155,1,0.912,0.000137,0.15,0.226,81.165,166467,4
156,Tomorrow Never Knows - Remastered,0.38,0.829,5,-6.105,1,8.4e-05,0.00208,0.342,0.0534,125.887,179547,4
157,This Land is Your Land,0.497,0.0919,3,-15.685,1,0.968,0.00214,0.133,0.548,206.431,139693,4
158,"Oh, Pretty Woman",0.693,0.488,6,-14.338,0,0.404,4.72e-06,0.0985,0.97,125.34,178787,4
159,Jailhouse Rock,0.654,0.619,10,-8.562,0,0.431,1.08e-06,0.0608,0.9,166.841,146413,4
160,Empire State Of Mind [Jay-Z + Alicia Keys],0.495,0.933,11,-3.977,1,0.0294,0.0,0.503,0.815,173.414,277400,4
161,I Bet You Look Good On The Dancefloor,0.535,0.948,6,-4.19,0,0.00225,0.0,0.376,0.778,103.183,173680,4
162,Like a Virgin,0.771,0.655,3,-10.842,0,0.152,0.00197,0.0685,0.97,119.747,218627,4
163,Into the Groove,0.729,0.856,10,-4.164,0,0.0658,0.00832,0.0691,0.804,116.467,285093,4
164,Let It Happen,0.602,0.881,1,-5.875,0,0.00462,0.0266,0.111,0.577,125.012,467587,4
165,Cranes in the Sky,0.719,0.615,6,-5.972,1,0.408,0.000147,0.235,0.465,96.988,250973,4
166,Song 2 - 2012 Remaster,0.674,0.789,8,-6.903,1,0.00178,0.00708,0.0753,0.918,129.802,121160,4
167,Purple Rain,0.371,0.532,10,-8.736,1,0.0527,0.00591,0.677,0.183,112.923,527827,4
168,Wuthering Heights,0.481,0.392,1,-11.381,1,0.366,0.0452,0.124,0.52,124.572,269067,4
169,Born In The U.S.A.,0.397,0.861,4,-12.156,1,0.00201,2.49e-05,0.35,0.512,121.856,278827,4
170,Kids,0.451,0.931,9,-3.871,1,0.00076,0.0049,0.361,0.172,122.961,302840,4
171,"Nuthin' But A ""G"" Thang",0.801,0.699,11,-8.18,0,0.00575,0.0,0.146,0.655,94.605,238467,4
172,Peggy Sue - Single Version,0.659,0.515,9,-7.912,1,0.818,0.0,0.179,0.602,149.126,150067,4
173,White Rabbit,0.551,0.293,2,-12.503,1,0.486,0.000273,0.0864,0.322,106.798,150640,4
174,Kiss,0.898,0.271,7,-12.238,1,0.0135,0.00138,0.0461,0.742,111.485,226240,4
175,Sunday Bloody Sunday,0.543,0.936,6,-8.85,1,0.378,0.000662,0.0446,0.752,101.678,276573,4
176,Psycho Killer - 2005 Remaster,0.721,0.521,2,-8.123,1,0.0708,0.00545,0.127,0.942,123.118,261413,4
177,Tainted Love,0.5,0.501,0,-8.284,0,0.462,0.0,0.26,0.623,144.438,153800,4
178,Little Red Corvette,0.748,0.746,1,-9.721,1,0.281,3.31e-05,0.632,0.709,123.144,296907,4
179,Family Affair - Single Version,0.819,0.605,2,-13.83,0,0.669,0.0163,0.199,0.797,108.892,185533,4
180,Can't Get You out of My Head,0.766,0.563,9,-7.516,0,0.0263,0.683,0.115,0.964,126.007,230640,4
181,Honky Tonk Women - Mono Version,0.558,0.71,7,-8.521,1,0.435,0.0144,0.0838,0.963,120.435,179693,4
182,Your Best American Girl,0.36,0.257,7,-9.655,1,0.0159,0.00512,0.226,0.13,76.972,212184,4
183,Autobahn - 2009 Remaster,0.333,0.497,2,-15.606,1,0.105,0.872,0.129,0.113,81.681,1367093,4
184,My Girls,0.511,0.95,4,-6.057,0,0.246,0.0514,0.902,0.537,119.973,342787,4
185,Eleanor Rigby - Remastered,0.581,0.28,4,-9.091,0,0.936,1.56e-05,0.305,0.813,137.831,126533,4
186,Get It On,0.73,0.867,2,-6.818,1,0.187,0.759,0.222,0.903,126.431,265636,4
187,There She Goes,0.533,0.761,7,-10.632,1,0.013,0.829,0.207,0.917,122.777,162187,4
188,Help! - Remastered,0.534,0.725,6,-7.576,0,0.188,0.0,0.0994,0.763,95.003,139560,4
189,House Of Jealous Lovers,0.729,0.761,1,-4.277,1,0.000333,0.368,0.308,0.763,130.007,304787,4
190,Last Nite,0.624,0.91,0,-5.703,1,0.0285,0.000198,0.0789,0.767,104.042,193051,4
191,Le Freak,0.867,0.746,7,-7.445,1,0.0453,0.0,0.123,0.933,118.616,327573,4
192,Won't Get Fooled Again - Original Album Version,0.686,0.92,2,-6.231,1,0.301,0.27,0.0807,0.225,135.027,511400,4
193,In My Life - Remastered,0.688,0.435,9,-11.359,1,0.449,0.0,0.113,0.435,103.239,146333,4
194,Hurt,0.536,0.4,9,-7.717,0,0.666,0.000906,0.0841,0.146,90.32,218533,4
195,Ms. Jackson,0.843,0.806,4,-5.946,0,0.143,0.0,0.0771,0.613,94.948,270507,4
196,Walk on By,0.687,0.454,5,-6.273,1,0.896,4.98e-05,0.0796,0.623,98.967,175533,4
197,Folsom Prison Blues,0.726,0.463,5,-11.702,1,0.716,6.19e-05,0.0909,0.846,99.998,168640,4
198,Sign 'O' the Times - Single Version,0.825,0.393,10,-10.875,0,0.039,0.000905,0.0609,0.62,98.94,223507,4
199,bad guy,0.701,0.425,7,-10.965,1,0.328,0.13,0.1,0.562,135.128,194088,4
200,Teenage Kicks,0.41,0.737,2,-8.07,1,0.000685,0.0,0.197,0.555,134.991,148187,4
201,This Is America,0.854,0.463,5,-6.159,1,0.117,0.0,0.354,0.549,120.024,225773,4
202,Blowin' in the Wind,0.38,0.0993,2,-20.567,1,0.914,2.32e-05,0.0605,0.44,174.874,165427,4
203,I Walk The Line - Single Version,0.863,0.382,10,-14.34,1,0.777,0.00103,0.109,0.744,105.766,163027,4
204,Brown Eyed Girl,0.496,0.586,7,-10.991,1,0.182,0.0,0.332,0.899,148.882,183520,4
205,Blueberry Hill,0.534,0.435,11,-9.801,1,0.513,0.0,0.0983,0.712,136.895,143733,3
206,Planet Rock,0.915,0.807,6,-9.636,0,0.011,0.000122,0.201,0.708,127.35,319960,4
207,Crazy,0.57,0.129,10,-15.559,1,0.897,0.0,0.0766,0.346,70.062,164880,3
208,Bo Diddley,0.807,0.874,0,-5.808,1,0.165,0.0,0.334,0.617,105.677,151371,4
209,Subterranean Homesick Blues,0.576,0.727,4,-9.973,0,0.702,0.0,0.324,0.751,173.854,141293,4
210,Mr. Brightside,0.351,0.928,1,-3.71,1,0.00113,0.0,0.0988,0.239,148.03,222076,4
211,People Get Ready - Single Version,0.423,0.227,1,-15.978,1,0.486,0.000242,0.246,0.37,143.346,157480,3
212,Virginia Plain,0.588,0.708,6,-7.823,1,0.445,3.94e-05,0.293,0.579,131.197,178376,4
213,Runaway,0.527,0.791,10,-1.869,1,0.682,8.63e-06,0.129,0.847,150.04,138587,4
214,Baba O'Riley,0.489,0.724,5,-8.367,1,0.313,0.185,0.287,0.15,117.292,300400,4
215,Go Your Own Way,0.597,0.812,5,-12.062,1,0.0219,0.00106,0.102,0.823,135.68,218400,4
216,Two Weeks,0.48,0.717,0,-6.663,1,0.0625,0.000685,0.0814,0.335,109.756,247547,4
217,(White Man) In Hammersmith Palais,0.654,0.753,4,-5.323,1,0.237,2.81e-06,0.0491,0.757,102.743,239747,4
218,(Don't Fear) The Reaper,0.368,0.928,9,-8.369,0,0.00125,0.00111,0.301,0.532,141.175,308440,4
219,Penny Lane - Remastered,0.651,0.488,9,-8.22,1,0.212,0.026,0.136,0.49,113.038,180893,4
220,Smoke On the Water,0.598,0.676,0,-9.211,1,0.13,0.225,0.112,0.805,114.169,340742,4
221,Toxic,0.778,0.845,5,-3.958,0,0.0253,0.0215,0.227,0.918,143.025,198800,4
222,Roadrunner (Twice),0.462,0.831,2,-6.548,1,5.34e-05,6.97e-05,0.125,0.863,75.541,245453,4
223,Don't You Want Me,0.731,0.738,9,-8.125,0,0.184,0.0,0.214,0.958,117.656,236920,4
224,Bad Girls,0.635,0.935,1,-2.157,1,0.00625,0.0,0.0901,0.347,143.432,228280,4
225,Changes - 1999 Remastered Version,0.537,0.355,0,-11.241,1,0.357,0.0,0.132,0.39,113.994,214573,4
226,Don't Stop 'Til You Get Enough,0.878,0.821,11,-9.875,1,0.126,0.0461,0.183,0.947,118.881,365467,4
227,Let It Be - Remastered,0.443,0.403,0,-8.339,1,0.631,0.0,0.111,0.41,143.462,243027,4
228,Don't Be Cruel,0.717,0.564,2,-11.696,1,0.85,4.04e-05,0.103,0.884,84.538,123347,4
229,Papa Was A Rollin' Stone - Single Version,0.754,0.592,5,-8.808,0,0.613,0.0153,0.0675,0.835,120.283,411360,4
230,Rolling in the Deep,0.73,0.77,8,-5.114,1,0.138,0.0,0.0473,0.507,104.948,228093,4
231,Living For The City,0.589,0.585,11,-9.958,1,0.0915,0.0,0.291,0.455,99.298,442712,4
232,Gloria (feat. Van Morrison) - Mono Version,0.621,0.939,9,-6.761,1,0.22,0.014,0.185,0.595,128.434,159107,4
233,Try A Little Tenderness,0.569,0.126,9,-16.028,0,0.177,3.54e-05,0.478,0.066,103.073,200626,4
234,I Wanna Be Your Dog,0.527,0.871,4,-8.708,1,0.0229,0.155,0.419,0.107,120.722,188560,4
235,1979,0.768,0.744,8,-11.267,1,0.0218,0.712,0.063,0.963,127.036,265893,4
236,The Girl From Ipanema,0.687,0.113,5,-19.521,0,0.861,0.000219,0.0926,0.488,130.37,166333,4
237,You Send Me,0.557,0.304,4,-10.259,0,0.884,0.0,0.161,0.493,96.517,162907,4
238,Wild Thing,0.446,0.92,9,-4.228,1,0.754,0.0514,0.239,0.656,203.034,154987,4
239,Ziggy Stardust - 2012 Remastered Version,0.498,0.593,7,-11.72,1,0.0476,3.42e-06,0.332,0.466,79.47,193577,4
240,In the Midnight Hour,0.75,0.444,4,-8.63,1,0.12,3.69e-06,0.118,0.849,111.919,157160,4
241,Wichita Lineman - Remastered 2001,0.192,0.392,5,-11.667,1,0.326,0.000199,0.248,0.391,172.312,186200,4
242,I Got You (I Feel Good),0.598,0.531,7,-7.484,1,0.331,1.51e-06,0.0938,0.696,70.469,168000,3
